"","farm_id","name","address","latitude","longitude","area","citrus_id","month","week","research_day","tag","brix","size"
"1","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"ris",10,4,"2021.10.21",1,9.28,57.44
"2","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"sis",10,4,"2021.10.21",2,9.08,51.1
"3","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"tis",10,4,"2021.10.21",3,8.66,53.74
"4","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"uis",10,4,"2021.10.21",4,8.92,58.48
"5","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"vis",10,4,"2021.10.21",5,8.92,53.24
"6","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"wis",10,4,"2021.10.21",6,8.89,59.41
"7","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"xis",10,4,"2021.10.21",7,8.98,48.49
"8","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"yis",10,4,"2021.10.21",8,8.56,56
"9","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"zis",10,4,"2021.10.21",9,10.96,55.78
"10","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"ajs",10,4,"2021.10.21",10,11.18,57.62
"11","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"bjs",10,4,"2021.10.21",11,9.17,61.33
"12","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"cjs",10,4,"2021.10.21",12,9.42,49.87
"13","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"djs",10,4,"2021.10.21",13,10.79,60.41
"14","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"ejs",10,4,"2021.10.21",14,10.9,55.84
"15","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"fjs",10,4,"2021.10.21",15,10.72,50.53
"16","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"gjs",10,4,"2021.10.21",16,11.06,59.92
"17","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"hjs",10,4,"2021.10.21",17,8.54,55.14
