"","apt_juso","coord_x","coord_y"
"1","제주특별자치도 제주시 한림읍 귀덕리 153",126.297662929694,33.4205670214556
"2","제주특별자치도 제주시 한림읍 귀덕리 447-1",126.295964800238,33.4324650304285
"3","제주특별자치도 제주시 한림읍 귀덕리 449-4",126.296076918246,33.4316303461394
"4","제주특별자치도 제주시 한림읍 귀덕리 454",126.296770288908,33.4292140576377
"5","제주특별자치도 제주시 한림읍 귀덕리 1000-2",126.295084935989,33.4446926660485
"6","제주특별자치도 제주시 한림읍 귀덕리 1332-1",126.294500238185,33.4375949414466
"7","제주특별자치도 제주시 한림읍 귀덕리 1454-1",126.293764020578,33.4372661799356
"8","제주특별자치도 제주시 한림읍 귀덕리 2423-1",126.287178218418,33.4272690336087
"9","제주특별자치도 제주시 한림읍 귀덕리 2875-2",126.28844122614,33.4378051053107
"10","제주특별자치도 제주시 한림읍 귀덕리 2880-2",126.288862666396,33.4369740064074
"11","제주특별자치도 제주시 한림읍 귀덕리 30",126.302775094057,33.424813585144
"12","제주특별자치도 제주시 한림읍 귀덕리 1246-1",126.296430943661,33.4428573790786
"13","제주특별자치도 제주시 한림읍 귀덕리 862-1",126.297947703209,33.4428735487694
"14","제주특별자치도 제주시 한림읍 귀덕리 860",126.297723324737,33.4428256662609
"15","제주특별자치도 제주시 한림읍 귀덕리 881",126.298425806176,33.4429443243562
"16","제주특별자치도 제주시 한림읍 귀덕리 2241",126.290564666951,33.4155039668528
"17","제주특별자치도 제주시 한림읍 귀덕리 58-4",126.301265220566,33.4182860575999
"18","제주특별자치도 제주시 한림읍 귀덕리 448-12",126.294934879397,33.4320394908523
"19","제주특별자치도 제주시 한림읍 귀덕리 276",126.298668168849,33.4248360523544
"20","제주특별자치도 제주시 한림읍 귀덕리 280",126.29934339494,33.4242608680961
"21","제주특별자치도 제주시 한림읍 귀덕리 281",126.299326889686,33.4237992515785
"22","제주특별자치도 제주시 한림읍 귀덕리 283",126.300067670464,33.4232398506432
"23","제주특별자치도 제주시 한림읍 귀덕리 291-1",126.300513983077,33.4227299952379
"24","제주특별자치도 제주시 한림읍 귀덕리 302",126.300534986408,33.4236370220197
"25","제주특별자치도 제주시 한림읍 귀덕리 846-1",126.298127765665,33.4421746668367
"26","제주특별자치도 제주시 한림읍 귀덕리 859-1",126.297582716855,33.4424448514
"27","제주특별자치도 제주시 한림읍 귀덕리 864",126.297350669252,33.4428681837514
"28","제주특별자치도 제주시 한림읍 귀덕리 866",126.297211884107,33.4431284063876
"29","제주특별자치도 제주시 한림읍 귀덕리 963-4",126.295974027953,33.4456755766901
"30","제주특별자치도 제주시 한림읍 귀덕리 2770-2",126.286622315363,33.4347481964126
"31","제주특별자치도 제주시 한림읍 귀덕리 3568",126.282435192313,33.4311836923073
"32","제주특별자치도 제주시 한림읍 귀덕리 3457",126.284243109774,33.435055182265
"33","제주특별자치도 제주시 한림읍 귀덕리 2772",126.286352515413,33.4347088677344
"34","제주특별자치도 제주시 한림읍 귀덕리 2788-2",126.286163746359,33.4343997093423
"35","제주특별자치도 제주시 한림읍 귀덕리 2789",126.286040171187,33.4347305112621
"36","제주특별자치도 제주시 한림읍 귀덕리 165",126.298453614248,33.4193081888193
"37","제주특별자치도 제주시 한림읍 귀덕리 537",126.299911623792,33.4305307464419
"38","제주특별자치도 제주시 한림읍 귀덕리 255-1",126.297634734402,33.4242554421509
"39","제주특별자치도 제주시 한림읍 귀덕리 851-2",126.297903049632,33.441608190432
"40","제주특별자치도 제주시 한림읍 귀덕리 710-1",126.297525431603,33.4391580648389
"41","제주특별자치도 제주시 한림읍 귀덕리 1453-1",126.293775580997,33.4376577145854
"42","제주특별자치도 제주시 한림읍 귀덕리 887",126.298998477874,33.4433179345193
"43","제주특별자치도 제주시 한림읍 귀덕리 454-4",126.29778698384,33.4289423091905
"44","제주특별자치도 제주시 한림읍 귀덕리 1941",126.296258496871,33.4251330014919
"45","제주특별자치도 제주시 한림읍 귀덕리 2248",126.290867775237,33.4161867604091
"46","제주특별자치도 제주시 한림읍 귀덕리 2248-2",126.290733945311,33.4158801762522
"47","제주특별자치도 제주시 한림읍 귀덕리 2831",126.287251318622,33.4379650656351
"48","제주특별자치도 제주시 한림읍 귀덕리 2836-1",126.286829341054,33.4382415903154
"49","제주특별자치도 제주시 한림읍 귀덕리 3228-2",126.285047764025,33.4404327333383
"50","제주특별자치도 제주시 한림읍 귀덕리 3129-1",126.28419750261,33.4417094316947
"51","제주특별자치도 제주시 한림읍 귀덕리 3246",126.284412626782,33.4393072273199
"52","제주특별자치도 제주시 한림읍 귀덕리 3230-4",126.284664880912,33.4401889004517
"53","제주특별자치도 제주시 한림읍 귀덕리 1995-1",126.293217621224,33.4252622195556
"54","제주특별자치도 제주시 한림읍 귀덕리 2305-1",126.287770178639,33.4209174118622
"55","제주특별자치도 제주시 한림읍 귀덕리 2289",126.288884035932,33.419533102024
"56","제주특별자치도 제주시 한림읍 귀덕리 2310",126.288413807182,33.4213473766697
